"caseid","state","dem","rep","nhwhite","nhblack","BA","faminc3","obama","CC410a","birthyr"
162327122,"New York",1,0,1,0,1,225,1,"Barack Obama (Democratic)","1964"
163714110,"South Carolina",0,1,1,0,0,35,NA,NA,"1936"
162422695,"California",0,1,0,0,0,75,0,"Mitt Romney (Republican)","1948"
164200614,"California",1,0,0,0,0,35,1,"Barack Obama (Democratic)","1989"
162675464,"Arizona",0,0,0,0,0,45,0,"Mitt Romney (Republican)","1955"
164376474,"Pennsylvania",1,0,1,0,0,130,1,"Barack Obama (Democratic)","1952"
164043232,"Colorado",0,1,0,0,0,15,NA,NA,"1991"
162297966,"Illinois",1,0,1,0,1,90,1,"Barack Obama (Democratic)","1959"
165086133,"California",1,0,0,0,0,90,NA,NA,"1958"
162878586,"Georgia",0,1,1,0,0,45,0,"Mitt Romney (Republican)","1951"
164251649,"California",1,0,1,0,0,35,0,"Other","1984"
162541869,"Washington",0,0,1,0,0,15,0,"Mitt Romney (Republican)","1960"
167271964,"Texas",0,0,0,0,1,225,NA,NA,"1977"
164759350,"New York",0,0,0,1,0,65,NA,NA,"1992"
162420929,"Florida",0,0,1,0,0,5,0,"Mitt Romney (Republican)","1962"
162259368,"Maryland",0,0,1,0,1,225,1,"Barack Obama (Democratic)","1963"
163059133,"Colorado",0,1,0,0,0,75,NA,NA,"1972"
162305012,"Pennsylvania",1,0,1,0,1,25,1,"Barack Obama (Democratic)","1950"
164677300,"North Carolina",0,0,0,0,0,45,NA,NA,"1983"
162448457,"North Carolina",0,0,1,0,1,90,0,"Mitt Romney (Republican)","1951"
163187893,"Nevada",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1939"
163305742,"Massachusetts",0,0,1,0,1,35,0,"Mitt Romney (Republican)","1944"
165179310,"Pennsylvania",1,0,0,1,1,55,NA,NA,"1989"
164001922,"Nevada",1,0,0,0,0,65,1,"Barack Obama (Democratic)","1989"
163121289,"Colorado",0,0,1,0,1,NA,0,"Mitt Romney (Republican)","1943"
162328621,"Michigan",0,1,1,0,0,110,0,"Mitt Romney (Republican)","1960"
164915802,"Alabama",1,0,1,0,0,25,1,"Barack Obama (Democratic)","1986"
164368920,"Pennsylvania",0,0,1,0,0,65,NA,NA,"1962"
163502937,"Indiana",1,0,0,1,0,35,NA,NA,"1972"
163478513,"California",0,0,0,0,0,15,NA,NA,"1983"
163036118,"New York",1,0,0,0,0,175,NA,NA,"1958"
163421405,"Virginia",1,0,0,1,0,5,NA,NA,"1978"
162455690,"Oregon",1,0,1,0,1,90,1,"Barack Obama (Democratic)","1934"
162509346,"Georgia",0,1,1,0,1,NA,0,"Mitt Romney (Republican)","1954"
154019808,"Utah",0,1,1,0,1,75,0,"Mitt Romney (Republican)","1966"
164467159,"Georgia",0,1,1,0,1,55,0,"Mitt Romney (Republican)","1990"
163166512,"Texas",1,0,0,1,0,65,NA,NA,"1992"
163607094,"Ohio",1,0,1,0,0,55,1,"Barack Obama (Democratic)","1975"
164127942,"Massachusetts",1,0,1,0,0,15,1,"Barack Obama (Democratic)","1967"
162393515,"California",0,1,1,0,0,75,0,"Mitt Romney (Republican)","1950"
162792488,"New Hampshire",0,0,1,0,1,65,1,"Barack Obama (Democratic)","1936"
162460718,"Indiana",0,1,1,0,1,45,0,"Mitt Romney (Republican)","1970"
164544190,"Texas",0,0,0,0,1,90,0,"Other","1990"
162276736,"Colorado",0,1,1,0,1,110,0,"Mitt Romney (Republican)","1941"
162593356,"Nevada",1,0,1,0,0,15,1,"Barack Obama (Democratic)","1957"
163379477,"Oregon",1,0,1,0,0,45,1,"Barack Obama (Democratic)","1959"
165932047,"Tennessee",0,0,1,0,0,75,0,"Mitt Romney (Republican)","1963"
164637753,"Illinois",1,0,1,0,0,130,1,"Barack Obama (Democratic)","1987"
163536412,"North Carolina",1,0,0,1,1,75,NA,NA,"1969"
164599476,"New York",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1956"
162325180,"New York",1,0,1,0,0,55,1,"Barack Obama (Democratic)","1946"
163020895,"New York",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1956"
162155610,"Alaska",0,1,1,0,1,NA,NA,NA,"1926"
161809776,"Texas",1,0,0,0,0,35,1,"Barack Obama (Democratic)","1948"
162380048,"Colorado",0,0,1,0,0,25,0,"Mitt Romney (Republican)","1953"
166106748,"Nebraska",1,0,1,0,0,15,1,"Barack Obama (Democratic)","1961"
163095187,"Louisiana",0,1,1,0,0,75,0,"Mitt Romney (Republican)","1955"
164055732,"Tennessee",1,0,0,1,0,25,NA,NA,"1987"
163685294,"New Jersey",1,0,0,1,0,55,1,"Barack Obama (Democratic)","1987"
162331231,"South Carolina",0,0,1,0,1,25,0,"Mitt Romney (Republican)","1944"
164427479,"Indiana",0,1,1,0,1,NA,0,"Mitt Romney (Republican)","1986"
162254581,"Iowa",1,0,1,0,1,55,NA,NA,"1979"
163625146,"Colorado",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1991"
